competitor,country,position,run,final_score,judge1_country,judge1_score,judge2_country,judge2_score,judge3_country,judge3_score,judge4_country,judge4_score,judge5_country,judge5_score,judge6_country,judge6_score,trick1,trick2,trick3,trick4,trick5,medal,notes
Yuto TOTSUKA,JPN,11,1,91.00,SLO,89,GBR,92,SWE,91,SUI,91,FRA,91,JPN,91,Cab-DC-14-Mu,f-TC-14-Tdr,x-b-D-AO-Rd-9-St,x-b-DC-10-Ng,b-DC-12-Mu,GOLD,Judge 1 excluded
Yuto TOTSUKA,JPN,11,2,95.00,SLO,95,GBR,95,SWE,96,SUI,95,FRA,95,JPN,95,Cab-TC-14-Ddr,f-TC-14-Tdr,x-b-D-AO-Rd-9-St,x-b-DC-10-Ng,b-DC-12-Mu,GOLD,Judge 3 excluded
Yuto TOTSUKA,JPN,11,3,DNI,SLO,,GBR,,SWE,,SUI,,FRA,,JPN,,Cab-TC-14-Ddr,f-TC-14-Tdr,x-b-D-AO-Rd-9-St,x-b-DC-14-Jp,b-DC-12-Mu,GOLD,Did not improve
Scotty JAMES,AUS,12,1,48.75,SLO,50,GBR,45,SWE,50,SUI,46,FRA,49,JPN,50,Cab-TC-14-Mu,f-DC-12-St,b-DC-10-St,x-b-DC-14-Jp,b-DC-14-Jp,SILVER,Judge 2 excluded
Scotty JAMES,AUS,12,2,93.50,SLO,94,GBR,93,SWE,94,SUI,93,FRA,94,JPN,93,Cab-TC-14-Mu,f-DC-12-St,b-DC-10-St,x-b-DC-14-Jp,b-DC-14-Jp,SILVER,Judge 5 excluded
Scotty JAMES,AUS,12,3,DNI,SLO,,GBR,,SWE,,SUI,,FRA,,JPN,,Cab-TC-14-Mu,f-DC-12-St,b-DC-10-St,x-b-DC-14-Jp,b-DC-16-Jp,SILVER,Did not improve
Ryusei YAMADA,JPN,10,1,92.00,SLO,92,GBR,88,SWE,92,SUI,92,FRA,92,JPN,92,Cab-DC-14-Ng,f-DC-12-Mu,b-DC-10-Jp,x-Mc-Jp,x-b-D-AO-Rd-9-St,BRONZE,Judge 2 excluded
Ryusei YAMADA,JPN,10,2,DNI,SLO,,GBR,,SWE,,SUI,,FRA,,JPN,,Cab-DC-12-I,x-AO-D-Rd-10-I,,,BRONZE,Did not improve
Ryusei YAMADA,JPN,10,3,92.00,SLO,93,GBR,90,SWE,93,SUI,91,FRA,93,JPN,91,Cab-DC-12-I,x-f-AO-D-Rd-10-I,b-DC-10-Jp,x-Mc-Jp,x-b-DC-AO-Rd-9-St,BRONZE,Judge 2 excluded
Ruka HIRANO,JPN,8,1,90.00,SLO,90,GBR,90,SWE,90,SUI,90,FRA,90,JPN,90,x-b-DC-14-Ng,b-DC-12-Mu,f-DC-14-I,Cab-TC-14-Ddr,f-DC-12-I,4TH,Judge 1 excluded
Ruka HIRANO,JPN,8,2,90.00,SLO,90,GBR,90,SWE,90,SUI,90,FRA,90,JPN,90,x-b-DC-14-Ng,b-DC-12-Mu,f-TC-14-I,Cab-TC-14-Ddr,f-DC-12-I,4TH,Judge 1 and 6 excluded
Ruka HIRANO,JPN,8,3,91.00,SLO,91,GBR,91,SWE,91,SUI,89,FRA,91,JPN,91,x-b-DC-14-Ng,b-DC-12-Mu,f-DC-14-I-Tdr,Cab-TC-14-Ddr,f-DC-12-I,4TH,Judge 4 excluded
Valentino GUSELI,AUS,7,1,35.00,SLO,35,GBR,35,SWE,35,SUI,35,FRA,35,JPN,34,b-AO-3-Ng,Cab-DC-10-Mu,f-12-Tg-to-Me,b-DC-10-I,x-b-12-Mu,5TH,Judge 5 and 6 excluded
Valentino GUSELI,AUS,7,2,DNI,SLO,,GBR,,SWE,,SUI,,FRA,,JPN,,b-AO-3-Ng,Cab-TC-14-Mu,f-12-Tg-to-Me,b-DC-10-I,x-b-12-Mu,5TH,Did not improve
Valentino GUSELI,AUS,7,3,88.00,SLO,89,GBR,89,SWE,89,SUI,87,FRA,87,JPN,85,b-AO-3-Ng,Cab-TC-14-Mu,f-12-Tg-to-Me,b-DC-10-I,x-b-DC-12-Mu,5TH,Judge 3 and 6 excluded
